epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.861,0.78619,0.70631,1.0018,0.89226,0.90062,0.96263,0.86095,0.46993,0.48596,0.86071,0.00332964,0.00332964,0.00332964
2,265.056,0.81764,0.66818,1.00357,0.88905,0.87353,0.95208,0.80931,0.59127,0.53249,0.90796,0.00653104,0.00653104,0.00653104
3,386.84,0.89883,0.72543,1.03971,0.85585,0.83005,0.91776,0.72937,0.7333,0.66419,0.97926,0.00960045,0.00960045,0.00960045
4,504.818,0.94484,0.76694,1.06507,0.8701,0.84209,0.93129,0.75646,0.6939,0.61961,0.95753,0.009406,0.009406,0.009406
5,618.43,0.91304,0.73507,1.05336,0.86789,0.85506,0.93489,0.76908,0.66478,0.6024,0.94249,0.009208,0.009208,0.009208
6,735.51,0.88936,0.71399,1.04447,0.86658,0.86186,0.93783,0.78098,0.6474,0.58064,0.93616,0.00901,0.00901,0.00901
7,854.567,0.87144,0.69603,1.0349,0.87615,0.8628,0.94027,0.78918,0.62814,0.56096,0.92599,0.008812,0.008812,0.008812
8,970.3,0.85255,0.67671,1.02377,0.87178,0.86829,0.94347,0.79169,0.6215,0.55682,0.9283,0.008614,0.008614,0.008614
9,1091.23,0.83704,0.66426,1.0207,0.87998,0.87216,0.94779,0.80445,0.59869,0.53471,0.92021,0.008416,0.008416,0.008416
10,1209.26,0.82509,0.65456,1.01648,0.87822,0.869,0.9444,0.80487,0.59472,0.53211,0.91624,0.008218,0.008218,0.008218
11,1332.71,0.8169,0.64548,1.01169,0.88219,0.87676,0.94989,0.81279,0.5836,0.51538,0.91318,0.00802,0.00802,0.00802
12,1448.59,0.80733,0.63603,1.00843,0.88539,0.87941,0.9516,0.81905,0.56897,0.51393,0.90566,0.007822,0.007822,0.007822
13,1559.59,0.79294,0.62196,1,0.8859,0.8808,0.95301,0.82277,0.56316,0.50644,0.90163,0.007624,0.007624,0.007624
14,1673.88,0.78615,0.61645,0.99721,0.88375,0.88326,0.95087,0.82525,0.55209,0.50027,0.8974,0.007426,0.007426,0.007426
15,1789,0.77847,0.6099,0.99451,0.88872,0.88912,0.95605,0.83084,0.54479,0.48811,0.89283,0.007228,0.007228,0.007228
16,1911.21,0.77686,0.60659,0.99291,0.88344,0.88667,0.95415,0.83188,0.54274,0.49141,0.89427,0.00703,0.00703,0.00703
17,2031.57,0.7667,0.59905,0.99107,0.88998,0.88807,0.9568,0.83549,0.53707,0.47793,0.89453,0.006832,0.006832,0.006832
18,2150.66,0.7591,0.59356,0.98521,0.89305,0.89251,0.95927,0.83885,0.53415,0.46935,0.88791,0.006634,0.006634,0.006634
19,2269.66,0.75328,0.58714,0.98426,0.89613,0.89157,0.95976,0.84263,0.52385,0.45864,0.88543,0.006436,0.006436,0.006436
20,2386.94,0.74925,0.57949,0.98102,0.88925,0.89262,0.95744,0.84234,0.52161,0.46728,0.88551,0.006238,0.006238,0.006238
21,2510.59,0.74383,0.57445,0.97779,0.88946,0.89752,0.95967,0.84622,0.51487,0.45782,0.88339,0.00604,0.00604,0.00604
